City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Hobyo,SO,2020-05-23 14:03:21,5.35,48.53,88.2,61,56,26.64
149,Bassano,CA,2020-05-23 14:03:21,50.78,-112.47,45.0,82,98,1.99
150,Sobolevo,RU,2020-05-23 14:03:22,54.43,31.9,49.24,74,97,8.88
151,Palmer,US,2020-05-23 14:03:22,42.16,-72.33,71.01,83,75,3.36
152,Chuy,UY,2020-05-23 14:03:22,-33.7,-53.46,60.87,81,100,21.52
153,Xinzhi,CN,2020-05-23 14:03:22,36.5,111.7,70.92,22,100,9.98
154,Kologriv,RU,2020-05-23 14:03:22,58.83,44.32,47.25,79,100,6.08
155,Loikaw,MM,2020-05-23 14:03:22,19.67,97.21,76.39,47,100,5.19
156,Plettenberg Bay,ZA,2020-05-23 14:03:22,-34.05,23.37,67.19,56,0,1.81
157,Upernavik,GL,2020-05-23 14:03:22,72.79,-56.15,29.26,97,15,11.99
158,Mayo,US,2020-05-23 14:03:23,38.89,-76.51,72.0,85,29,1.99
159,Hastings,GB,2020-05-23 14:01:51,50.86,0.57,62.01,66,62,8.99
160,Tupik,RU,2020-05-23 14:03:23,54.43,119.93,42.49,69,100,5.08
161,Ibra,OM,2020-05-23 14:03:23,22.69,58.53,100.18,17,27,7.18
162,Nemuro,JP,2020-05-23 14:02:38,43.32,145.57,45.39,94,100,13.98
163,Pangody,RU,2020-05-23 14:03:23,65.85,74.49,64.15,41,81,7.9
164,Grindavik,IS,2020-05-23 13:59:37,63.84,-22.43,51.8,57,32,13.87
165,Yuci,CN,2020-05-23 14:03:24,37.68,112.73,71.6,19,99,11.18
166,Gogrial,SS,2020-05-23 14:03:24,8.53,28.1,94.32,35,11,7.11
167,Bengkulu,ID,2020-05-23 13:58:30,-3.8,102.27,79.74,83,32,4.92
168,Kodiak,US,2020-05-23 14:03:24,57.79,-152.41,42.8,81,90,5.01
169,Katima Mulilo,NA,2020-05-23 14:03:24,-17.5,24.27,77.0,23,0,4.7
170,Vila Velha,BR,2020-05-23 14:01:25,-20.33,-40.29,82.0,74,20,12.75
171,Kapaa,US,2020-05-23 14:03:24,22.08,-159.32,73.4,88,75,13.87
172,Linhares,BR,2020-05-23 14:03:24,-19.39,-40.07,83.35,63,19,5.28
173,Itaituba,BR,2020-05-23 14:03:25,-4.28,-55.98,75.2,100,90,5.82
174,Wamba,NG,2020-05-23 14:03:25,8.93,8.6,94.8,42,9,2.57
175,Chinchani,IN,2020-05-23 14:03:25,19.87,72.7,84.76,79,0,14.76
176,Ola,RU,2020-05-23 14:03:25,59.58,151.28,42.53,64,18,6.17
177,Kazachka,RU,2020-05-23 14:03:25,53.36,38.07,50.63,80,100,11.3
178,Dogondoutchi,NE,2020-05-23 14:03:25,13.64,4.03,102.33,14,100,10.71
179,Coquimbo,CL,2020-05-23 14:01:33,-29.95,-71.34,53.6,66,0,3.36
